Council,CEO NAME,CEO TITLE,MAYOR NAME,MAYOR TITLE,Deputy Mayor,POSTAL,POSTAL SUBURB,PCODE,DX,ADDRESS,SUBURB/ TOWN,CODE,TEL,FAX,EMAIL,WWW SITE,Director,Position Name,SignoffClause
South Gippsland Shire Council,Ms Kerryn Ellis,Chief Executive Officer,Cr Mohya Davies,Mayor,Cr Nathan Hersey,Private Bag 4,LEONGATHA,3953,DX 94026 Leongatha,9 Smith Street,LEONGATHA,3953,5662 9200,5662 3754,council@southgippsland.vic.gov.au,www.southgippsland.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of South Gippsland Shire Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Southern Grampians Shire Council,Mr Tony Doyle,Interim Chief Executive Officer,Cr Bruach Colliton,Mayor,Cr David Robertson,Locked Bag 685,HAMILTON,3300, ,111 Brown Street,HAMILTON,3300,5573 0444, ,council@sthgrampians.vic.gov.au,www.sthgrampians.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Southern Grampians Shire Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Stonnington City Council,Ms Jacqui Weatherill,Chief Executive Officer,Cr Jami Klisaris,Mayor,Cr Melina Sehr,PO Box 58,MALVERN,3144,DX 30108 Prahran,311 Glenferrie Road,MALVERN,3144,8290 1333, ,council@stonnington.vic.gov.au,www.stonnington.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Stonnington City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Strathbogie Shire Council,Ms Julie Salomon,Chief Executive Officer,Cr Laura Binks,Mayor,Cr Paul Murray,PO Box 177,EUROA,3666, ,109A Binney Street,EUROA,3666,5795 0000,5795 3550,info@strathbogie.vic.gov.au,www.strathbogie.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Strathbogie Shire Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Surf Coast Shire Council,Ms Robyn Seymour,Chief Executive Officer,Cr Libby Stapleton,Mayor,Cr Liz Pattison,PO Box 350,TORQUAY,3228, ,1 Merrijig Drive,TORQUAY,3228,5261 0600,5261 0525,info@surfcoast.vic.gov.au,www.surfcoast.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Surf Coast Shire Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Swan Hill Rural City Council,Ms Rosanne Kava,Acting Chief Executive Officer,Cr Jade Benham,Mayor,Cr Bill Moar,PO Box 488,SWAN HILL,3585,DX 30166 Swan Hill,45 Splatt Street,SWAN HILL,3585,5036 2333,5036 2340,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Swan Hill Rural City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Towong Shire Council,Ms Juliana Phelps,Chief Executive Officer,Cr Andrew Whitehead,Mayor,Cr David Wortmann,PO Box 55,TALLANGATTA,3700, ,32 Towong Street,TALLANGATTA,3700,02 6071 5100,02 6071 2747,info@towong.vic.gov.au,www.towong.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Towong Shire Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Wangaratta Rural City Council,Mr Brendan McGrath,Chief Executive Officer,Cr Dean Rees,Mayor,Cr Harry Bussell,PO Box 238,WANGARATTA,3676, ,Cnr Ford & Ovens Streets,WANGARATTA,3677,5722 0888,5721 9526,council@wangaratta.vic.gov.au,www.wangaratta.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Wangaratta Rural City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Warrnambool City Council,Mr Peter Schneider,Chief Executive Officer,Cr Richard Ziegeler,Mayor,Cr Debbie Arnott ,PO Box 198,WARRNAMBOOL,3280,DX 28005 Warrnambool,25 Liebig Street,WARRNAMBOOL,3280,5559 4800,5559 4900,wbool_city@warrnambool.vic.gov.au,www.warrnambool.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Warrnambool City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Wellington Shire Council,Mr David Morcom,Chief Executive Officer,Cr Ian Bye,Mayor,Cr Marcus McKenzie,PO Box 506,SALE,3850,DX 85008 Sale,18 Desailly Street,SALE,3850,1300 366 244,5142 3501,enquiries@wellington.vic.gov.au,www.wellington.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Wellington Shire Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
West Wimmera Shire Council,Mr David Bezuidenhout,Chief Executive Officer,Cr Bruce Meyer,Mayor,Cr Jodie Pretlove,PO Box 201,EDENHOPE,3318, ,49 Elizabeth Street,EDENHOPE,3318,5585 9900,5585 9950,council@westwimmera.vic.gov.au,www.westwimmera.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of West Wimmera Shire Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Whitehorse City Council,Mr Simon McMillan,Chief Executive Officer,Cr Tina Liu,Mayor,Cr Denise Massoud,Locked Bag 2,NUNAWADING,3131,DX 13209 Mitcham,379-397 Whitehorse Road,NUNAWADING,3131,9262 6333,9262 6490,customer.service@whitehorse.vic.gov.au,www.whitehorse.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Whitehorse City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Whittlesea City Council,Mr Craig Lloyd,Chief Executive Officer,Ms Lydia Wilson,Administrator (Chair), ,Locked Bag 1,BUNDOORA MDC,3083, ,25 Ferres Boulevard,SOUTH MORANG,3752,9217 2170,9409 9800,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Whittlesea City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Wodonga City Council,Mr Mark Dixon,Chief Executive Officer,Cr Kevin Poulton,Mayor,Cr Graeme Simpfendorfer,PO Box 923,WODONGA,3689, ,104 Hovell Street,WODONGA,3690,02 6022 9300,02 6022 9322,info@wodonga.vic.gov.au,www.wodonga.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Wodonga City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Wyndham City Council,Mr Stephen Wall,Chief Executive Officer,Cr Peter Maynard,Mayor,Cr Jasmine Hill,PO Box 197,WERRIBEE,3030, ,45 Princes Highway,WERRIBEE,3030,9742 0777, ,mail@wyndham.vic.gov.au,www.wyndham.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Wyndham City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Yarra City Council,Ms Vijaya Vaidyanath,Chief Executive Officer,,,,PO Box 168,RICHMOND,3121,DX 30205 Richmond,333 Bridge Road,RICHMOND,3121,9205 5555, ,info@yarracity.vic.gov.au,www.yarracity.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Yarra City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Yarra Ranges Shire Council,Ms Tammi Rose,Chief Executive Officer,Cr Jim Child,Mayor,Cr Johanna Skelton,PO Box 105,LILYDALE,3140,DX 34051 Lilydale,Anderson Street,LILYDALE,3140,1300 368 333,9735 4249,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,[Director Name],[Position Name],"Signed by and on behalf of and with the authority of the Yarra City Council by Bruce Phillips, the member of Council staff occupying the position or title of or acting in the position of Director of Planning & Place Making, in the presence of:"
Yarriambiack Shire Council,Ms Jessie Holmes,Chief Executive Officer,Cr Kylie Zanker,Mayor,Cr Karly Kirk,PO Box 243,WARRACKNABEAL,3393, ,34 Lyle Street,WARRACKNABEAL,3393,5398 0100,5398 2502,info@yarriambiack.vic.gov.au,yarriambiack.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Yarriambiack Shire Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
